"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX"
"6599","311.6714172363281","311.6714172363281","311.6714172363281","296.5731506347656","296.5731506347656","296.5731506347656","760.9579467773438","760.9579467773438","760.9579467773438","310.6376953125","310.6376953125","310.6376953125","293.169677734375","293.169677734375","293.169677734375","604.2638549804688","604.2638549804688","604.2638549804688"
"7199","283.6464538574219","283.6464538574219","283.6464538574219","271.7897644042969","271.7897644042969","271.7897644042969","720.5972900390625","720.5972900390625","720.5972900390625","282.625","282.625","282.625","268.86480712890625","268.86480712890625","268.86480712890625","569.383056640625","569.383056640625","569.383056640625"
"7799","256.9356384277344","256.9356384277344","256.9356384277344","250.8217315673828","250.8217315673828","250.8217315673828","693.3329467773438","693.3329467773438","693.3329467773438","256.2254943847656","256.2254943847656","256.2254943847656","247.5608367919922","247.5608367919922","247.5608367919922","548.6513061523438","548.6513061523438","548.6513061523438"
"8399","232.7024383544922","232.7024383544922","232.7024383544922","231.54507446289062","231.54507446289062","231.54507446289062","663.9568481445312","663.9568481445312","663.9568481445312","232.3420867919922","232.3420867919922","232.3420867919922","229.0273895263672","229.0273895263672","229.0273895263672","519.4985961914062","519.4985961914062","519.4985961914062"
"8999","220.26931762695312","220.26931762695312","220.26931762695312","218.9545440673828","218.9545440673828","218.9545440673828","643.4517822265625","643.4517822265625","643.4517822265625","219.87889099121094","219.87889099121094","219.87889099121094","216.6770477294922","216.6770477294922","216.6770477294922","503.4692077636719","503.4692077636719","503.4692077636719"
"9599","204.103759765625","204.103759765625","204.103759765625","203.4247589111328","203.4247589111328","203.4247589111328","617.1267700195312","617.1267700195312","617.1267700195312","203.8306121826172","203.8306121826172","203.8306121826172","200.7466583251953","200.7466583251953","200.7466583251953","481.9084167480469","481.9084167480469","481.9084167480469"
"10199","197.20774841308594","197.20774841308594","197.20774841308594","195.118896484375","195.118896484375","195.118896484375","601.072265625","601.072265625","601.072265625","196.8521270751953","196.8521270751953","196.8521270751953","192.76187133789062","192.76187133789062","192.76187133789062","470.4004821777344","470.4004821777344","470.4004821777344"
"10799","187.5830841064453","187.5830841064453","187.5830841064453","186.7310333251953","186.7310333251953","186.7310333251953","582.9701538085938","582.9701538085938","582.9701538085938","187.07669067382812","187.07669067382812","187.07669067382812","184.33682250976562","184.33682250976562","184.33682250976562","453.6449890136719","453.6449890136719","453.6449890136719"
"11399","174.0993194580078","174.0993194580078","174.0993194580078","174.818359375","174.818359375","174.818359375","558.7338256835938","558.7338256835938","558.7338256835938","173.9199676513672","173.9199676513672","173.9199676513672","172.34939575195312","172.34939575195312","172.34939575195312","433.9435729980469","433.9435729980469","433.9435729980469"
"11999","169.09414672851562","169.09414672851562","169.09414672851562","168.17613220214844","168.17613220214844","168.17613220214844","546.1204223632812","546.1204223632812","546.1204223632812","168.37107849121094","168.37107849121094","168.37107849121094","166.2039337158203","166.2039337158203","166.2039337158203","423.3148498535156","423.3148498535156","423.3148498535156"
"12599","160.18472290039062","160.18472290039062","160.18472290039062","160.7126922607422","160.7126922607422","160.7126922607422","534.7272338867188","534.7272338867188","534.7272338867188","159.6396942138672","159.6396942138672","159.6396942138672","158.65676879882812","158.65676879882812","158.65676879882812","413.4051818847656","413.4051818847656","413.4051818847656"
"13199","153.1033172607422","153.1033172607422","153.1033172607422","153.0421600341797","153.0421600341797","153.0421600341797","517.854736328125","517.854736328125","517.854736328125","152.5773162841797","152.5773162841797","152.5773162841797","150.9932098388672","150.9932098388672","150.9932098388672","400.19146728515625","400.19146728515625","400.19146728515625"
"13799","151.60208129882812","151.60208129882812","151.60208129882812","149.62527465820312","149.62527465820312","149.62527465820312","507.7406311035156","507.7406311035156","507.7406311035156","150.81602478027344","150.81602478027344","150.81602478027344","147.3245391845703","147.3245391845703","147.3245391845703","393.52740478515625","393.52740478515625","393.52740478515625"
"14399","144.76394653320312","144.76394653320312","144.76394653320312","142.553955078125","142.553955078125","142.553955078125","494.72003173828125","494.72003173828125","494.72003173828125","144.08389282226562","144.08389282226562","144.08389282226562","140.7838897705078","140.7838897705078","140.7838897705078","381.1952819824219","381.1952819824219","381.1952819824219"
"14999","137.527587890625","137.527587890625","137.527587890625","136.2797088623047","136.2797088623047","136.2797088623047","477.74169921875","477.74169921875","477.74169921875","137.2086639404297","137.2086639404297","137.2086639404297","134.5772705078125","134.5772705078125","134.5772705078125","369.7441101074219","369.7441101074219","369.7441101074219"
"15599","135.1340789794922","135.1340789794922","135.1340789794922","132.7068328857422","132.7068328857422","132.7068328857422","466.6156921386719","466.6156921386719","466.6156921386719","134.63279724121094","134.63279724121094","134.63279724121094","130.91099548339844","130.91099548339844","130.91099548339844","359.9703063964844","359.9703063964844","359.9703063964844"
"16199","130.47984313964844","130.47984313964844","130.47984313964844","129.4295196533203","129.4295196533203","129.4295196533203","457.759765625","457.759765625","457.759765625","130.0719757080078","130.0719757080078","130.0719757080078","127.912109375","127.912109375","127.912109375","353.55999755859375","353.55999755859375","353.55999755859375"
"16799","126.7723617553711","126.7723617553711","126.7723617553711","125.11748504638672","125.11748504638672","125.11748504638672","445.1429138183594","445.1429138183594","445.1429138183594","126.22344207763672","126.22344207763672","126.22344207763672","123.45024871826172","123.45024871826172","123.45024871826172","343.75347900390625","343.75347900390625","343.75347900390625"
"17399","122.9601058959961","122.9601058959961","122.9601058959961","121.82927703857422","121.82927703857422","121.82927703857422","438.98907470703125","438.98907470703125","438.98907470703125","122.5846176147461","122.5846176147461","122.5846176147461","120.18782043457031","120.18782043457031","120.18782043457031","338.6722106933594","338.6722106933594","338.6722106933594"
"17999","120.22004699707031","120.22004699707031","120.22004699707031","118.888427734375","118.888427734375","118.888427734375","426.71923828125","426.71923828125","426.71923828125","119.66912078857422","119.66912078857422","119.66912078857422","117.36064910888672","117.36064910888672","117.36064910888672","330.02294921875","330.02294921875","330.02294921875"
"18599","115.76982879638672","115.76982879638672","115.76982879638672","114.65776824951172","114.65776824951172","114.65776824951172","416.0140686035156","416.0140686035156","416.0140686035156","115.3060073852539","115.3060073852539","115.3060073852539","113.1697006225586","113.1697006225586","113.1697006225586","320.749755859375","320.749755859375","320.749755859375"
"19199","114.87456512451172","114.87456512451172","114.87456512451172","112.88056945800781","112.88056945800781","112.88056945800781","411.0083923339844","411.0083923339844","411.0083923339844","114.4024658203125","114.4024658203125","114.4024658203125","111.51128387451172","111.51128387451172","111.51128387451172","317.2919616699219","317.2919616699219","317.2919616699219"
"19799","110.90874481201172","110.90874481201172","110.90874481201172","109.91059875488281","109.91059875488281","109.91059875488281","400.8424072265625","400.8424072265625","400.8424072265625","110.36360168457031","110.36360168457031","110.36360168457031","108.60888671875","108.60888671875","108.60888671875","309.69915771484375","309.69915771484375","309.69915771484375"
