"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX"
"6599","12085.953125","12085.953125","12085.953125","11971.1748046875","11971.1748046875","11971.1748046875","12112.9443359375","12112.9443359375","12112.9443359375","10266.5419921875","10266.5419921875","10266.5419921875","11176.2578125","11176.2578125","11176.2578125","8858.359375","8858.359375","8858.359375"
"7199","12091.0263671875","12091.0263671875","12091.0263671875","11925.2763671875","11925.2763671875","11925.2763671875","12110.9765625","12110.9765625","12110.9765625","10390.6240234375","10390.6240234375","10390.6240234375","11263.4130859375","11263.4130859375","11263.4130859375","8680.5087890625","8680.5087890625","8680.5087890625"
"7799","12088.7763671875","12088.7763671875","12088.7763671875","11985.119140625","11985.119140625","11985.119140625","12116.6875","12116.6875","12116.6875","10485.0634765625","10485.0634765625","10485.0634765625","11371.7939453125","11371.7939453125","11371.7939453125","8524.27734375","8524.27734375","8524.27734375"
"8399","12081.9580078125","12081.9580078125","12081.9580078125","11918.9638671875","11918.9638671875","11918.9638671875","12124.2265625","12124.2265625","12124.2265625","10558.4619140625","10558.4619140625","10558.4619140625","11412.4912109375","11412.4912109375","11412.4912109375","8391.978515625","8391.978515625","8391.978515625"
"8999","12060.2001953125","12060.2001953125","12060.2001953125","11922.1708984375","11922.1708984375","11922.1708984375","12120.6396484375","12120.6396484375","12120.6396484375","10593.931640625","10593.931640625","10593.931640625","11398.3095703125","11398.3095703125","11398.3095703125","8260.4267578125","8260.4267578125","8260.4267578125"
"9599","12083.322265625","12083.322265625","12083.322265625","11952.80078125","11952.80078125","11952.80078125","12115.3896484375","12115.3896484375","12115.3896484375","10661.5703125","10661.5703125","10661.5703125","11453.193359375","11453.193359375","11453.193359375","8145.9609375","8145.9609375","8145.9609375"
"10199","12078.1796875","12078.1796875","12078.1796875","11953.6416015625","11953.6416015625","11953.6416015625","12110.0322265625","12110.0322265625","12110.0322265625","10658.4873046875","10658.4873046875","10658.4873046875","11447.6279296875","11447.6279296875","11447.6279296875","8013.3134765625","8013.3134765625","8013.3134765625"
"10799","12061.9208984375","12061.9208984375","12061.9208984375","11916.3505859375","11916.3505859375","11916.3505859375","12098.5927734375","12098.5927734375","12098.5927734375","10685.5283203125","10685.5283203125","10685.5283203125","11449.1220703125","11449.1220703125","11449.1220703125","7909.67041015625","7909.67041015625","7909.67041015625"
"11399","12071.9736328125","12071.9736328125","12071.9736328125","11935.1064453125","11935.1064453125","11935.1064453125","12114.0458984375","12114.0458984375","12114.0458984375","10711.4755859375","10711.4755859375","10711.4755859375","11458.826171875","11458.826171875","11458.826171875","7818.04248046875","7818.04248046875","7818.04248046875"
"11999","12057.3125","12057.3125","12057.3125","11881.8681640625","11881.8681640625","11881.8681640625","12105.6396484375","12105.6396484375","12105.6396484375","10732.2529296875","10732.2529296875","10732.2529296875","11408.7294921875","11408.7294921875","11408.7294921875","7714.80810546875","7714.80810546875","7714.80810546875"
"12599","12061.9873046875","12061.9873046875","12061.9873046875","11877.6552734375","11877.6552734375","11877.6552734375","12107.9208984375","12107.9208984375","12107.9208984375","10770.71484375","10770.71484375","10770.71484375","11412.6728515625","11412.6728515625","11412.6728515625","7645.0126953125","7645.0126953125","7645.0126953125"
"13199","12094.0615234375","12094.0615234375","12094.0615234375","11897.0615234375","11897.0615234375","11897.0615234375","12117.40625","12117.40625","12117.40625","10778.943359375","10778.943359375","10778.943359375","11405.125","11405.125","11405.125","7558.3720703125","7558.3720703125","7558.3720703125"
"13799","12073.8359375","12073.8359375","12073.8359375","11913.421875","11913.421875","11913.421875","12105.2177734375","12105.2177734375","12105.2177734375","10775.9111328125","10775.9111328125","10775.9111328125","11404.3623046875","11404.3623046875","11404.3623046875","7478.54296875","7478.54296875","7478.54296875"
"14399","12062.4990234375","12062.4990234375","12062.4990234375","11925.896484375","11925.896484375","11925.896484375","12117.9169921875","12117.9169921875","12117.9169921875","10776.5126953125","10776.5126953125","10776.5126953125","11386.0634765625","11386.0634765625","11386.0634765625","7409.22216796875","7409.22216796875","7409.22216796875"
"14999","12066.5","12066.5","12066.5","11900.53515625","11900.53515625","11900.53515625","12121.2158203125","12121.2158203125","12121.2158203125","10772.974609375","10772.974609375","10772.974609375","11379.6279296875","11379.6279296875","11379.6279296875","7335.06396484375","7335.06396484375","7335.06396484375"
"15599","12057.2138671875","12057.2138671875","12057.2138671875","11888.6787109375","11888.6787109375","11888.6787109375","12116.3583984375","12116.3583984375","12116.3583984375","10782.9814453125","10782.9814453125","10782.9814453125","11352.9443359375","11352.9443359375","11352.9443359375","7262.62060546875","7262.62060546875","7262.62060546875"
"16199","12073.650390625","12073.650390625","12073.650390625","11913.220703125","11913.220703125","11913.220703125","12103.734375","12103.734375","12103.734375","10785.9873046875","10785.9873046875","10785.9873046875","11348.3935546875","11348.3935546875","11348.3935546875","7189.9296875","7189.9296875","7189.9296875"
"16799","12052.0537109375","12052.0537109375","12052.0537109375","11878.6455078125","11878.6455078125","11878.6455078125","12112.1494140625","12112.1494140625","12112.1494140625","10777.9287109375","10777.9287109375","10777.9287109375","11334.708984375","11334.708984375","11334.708984375","7120.83154296875","7120.83154296875","7120.83154296875"
"17399","12060.8564453125","12060.8564453125","12060.8564453125","11883.212890625","11883.212890625","11883.212890625","12088.33203125","12088.33203125","12088.33203125","10770.1279296875","10770.1279296875","10770.1279296875","11298.2392578125","11298.2392578125","11298.2392578125","7049.18603515625","7049.18603515625","7049.18603515625"
"17999","12067.5654296875","12067.5654296875","12067.5654296875","11899.8798828125","11899.8798828125","11899.8798828125","12100.2099609375","12100.2099609375","12100.2099609375","10767.2021484375","10767.2021484375","10767.2021484375","11289.4462890625","11289.4462890625","11289.4462890625","7001.046875","7001.046875","7001.046875"
"18599","12045.4599609375","12045.4599609375","12045.4599609375","11861.677734375","11861.677734375","11861.677734375","12112.5498046875","12112.5498046875","12112.5498046875","10775.3701171875","10775.3701171875","10775.3701171875","11283.1279296875","11283.1279296875","11283.1279296875","6941.0791015625","6941.0791015625","6941.0791015625"
"19199","12066.2421875","12066.2421875","12066.2421875","11900.3193359375","11900.3193359375","11900.3193359375","12083.3349609375","12083.3349609375","12083.3349609375","10774.392578125","10774.392578125","10774.392578125","11282.4482421875","11282.4482421875","11282.4482421875","6880.28759765625","6880.28759765625","6880.28759765625"
"19799","12067.8779296875","12067.8779296875","12067.8779296875","11893.0205078125","11893.0205078125","11893.0205078125","12111.5380859375","12111.5380859375","12111.5380859375","10770.8388671875","10770.8388671875","10770.8388671875","11256.818359375","11256.818359375","11256.818359375","6819.4658203125","6819.4658203125","6819.4658203125"
