"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX"
"6599","12214.3388671875","12214.3388671875","12214.3388671875","12172.8779296875","12172.8779296875","12172.8779296875","12215.470703125","12215.470703125","12215.470703125","10908.4208984375","10908.4208984375","10908.4208984375","11455.0029296875","11455.0029296875","11455.0029296875","12079.1884765625","12079.1884765625","12079.1884765625"
"7199","12212.892578125","12212.892578125","12212.892578125","12189.0146484375","12189.0146484375","12189.0146484375","12222.1064453125","12222.1064453125","12222.1064453125","10974.5048828125","10974.5048828125","10974.5048828125","11495.140625","11495.140625","11495.140625","12087.8896484375","12087.8896484375","12087.8896484375"
"7799","12213.3310546875","12213.3310546875","12213.3310546875","12196.0146484375","12196.0146484375","12196.0146484375","12221.4423828125","12221.4423828125","12221.4423828125","11011.1435546875","11011.1435546875","11011.1435546875","11505.23828125","11505.23828125","11505.23828125","12092.078125","12092.078125","12092.078125"
"8399","12215.0966796875","12215.0966796875","12215.0966796875","12196.890625","12196.890625","12196.890625","12219.7685546875","12219.7685546875","12219.7685546875","11035.111328125","11035.111328125","11035.111328125","11512.8662109375","11512.8662109375","11512.8662109375","12095.66796875","12095.66796875","12095.66796875"
"8999","12212.0791015625","12212.0791015625","12212.0791015625","12200.06640625","12200.06640625","12200.06640625","12220.1298828125","12220.1298828125","12220.1298828125","11062.0888671875","11062.0888671875","11062.0888671875","11507.2509765625","11507.2509765625","11507.2509765625","12097.2158203125","12097.2158203125","12097.2158203125"
"9599","12216.18359375","12216.18359375","12216.18359375","12211.2353515625","12211.2353515625","12211.2353515625","12222.5947265625","12222.5947265625","12222.5947265625","11077.626953125","11077.626953125","11077.626953125","11526.8623046875","11526.8623046875","11526.8623046875","12103.765625","12103.765625","12103.765625"
"10199","12216.3515625","12216.3515625","12216.3515625","12207.2236328125","12207.2236328125","12207.2236328125","12222.0380859375","12222.0380859375","12222.0380859375","11089.8515625","11089.8515625","11089.8515625","11529.1640625","11529.1640625","11529.1640625","12105.3359375","12105.3359375","12105.3359375"
"10799","12215.34375","12215.34375","12215.34375","12214.9091796875","12214.9091796875","12214.9091796875","12222.583984375","12222.583984375","12222.583984375","11102.640625","11102.640625","11102.640625","11542.7783203125","11542.7783203125","11542.7783203125","12109.7294921875","12109.7294921875","12109.7294921875"
"11399","12214.9248046875","12214.9248046875","12214.9248046875","12213.6708984375","12213.6708984375","12213.6708984375","12221.9443359375","12221.9443359375","12221.9443359375","11100.8193359375","11100.8193359375","11100.8193359375","11544.7099609375","11544.7099609375","11544.7099609375","12112.345703125","12112.345703125","12112.345703125"
"11999","12212.8876953125","12212.8876953125","12212.8876953125","12211.5439453125","12211.5439453125","12211.5439453125","12216.6455078125","12216.6455078125","12216.6455078125","11113.6982421875","11113.6982421875","11113.6982421875","11541.03515625","11541.03515625","11541.03515625","12107.2041015625","12107.2041015625","12107.2041015625"
"12599","12218.986328125","12218.986328125","12218.986328125","12218.6240234375","12218.6240234375","12218.6240234375","12216.2705078125","12216.2705078125","12216.2705078125","11126.408203125","11126.408203125","11126.408203125","11555.55859375","11555.55859375","11555.55859375","12115.4267578125","12115.4267578125","12115.4267578125"
"13199","12215.2548828125","12215.2548828125","12215.2548828125","12212.7958984375","12212.7958984375","12212.7958984375","12216.11328125","12216.11328125","12216.11328125","11133.8095703125","11133.8095703125","11133.8095703125","11553.353515625","11553.353515625","11553.353515625","12118.6083984375","12118.6083984375","12118.6083984375"
"13799","12216.3466796875","12216.3466796875","12216.3466796875","12220.0029296875","12220.0029296875","12220.0029296875","12217.0341796875","12217.0341796875","12217.0341796875","11131.9970703125","11131.9970703125","11131.9970703125","11564.408203125","11564.408203125","11564.408203125","12125.0107421875","12125.0107421875","12125.0107421875"
"14399","12214.8623046875","12214.8623046875","12214.8623046875","12221.4658203125","12221.4658203125","12221.4658203125","12216.3271484375","12216.3271484375","12216.3271484375","11148.96484375","11148.96484375","11148.96484375","11570.37890625","11570.37890625","11570.37890625","12126.2919921875","12126.2919921875","12126.2919921875"
"14999","12212.7080078125","12212.7080078125","12212.7080078125","12219.5302734375","12219.5302734375","12219.5302734375","12215.8193359375","12215.8193359375","12215.8193359375","11139.0986328125","11139.0986328125","11139.0986328125","11560.546875","11560.546875","11560.546875","12122.8310546875","12122.8310546875","12122.8310546875"
"15599","12212.767578125","12212.767578125","12212.767578125","12216.638671875","12216.638671875","12216.638671875","12210.7880859375","12210.7880859375","12210.7880859375","11141.048828125","11141.048828125","11141.048828125","11564.6015625","11564.6015625","11564.6015625","12120.509765625","12120.509765625","12120.509765625"
"16199","12213.302734375","12213.302734375","12213.302734375","12223.8544921875","12223.8544921875","12223.8544921875","12213.5107421875","12213.5107421875","12213.5107421875","11148.7587890625","11148.7587890625","11148.7587890625","11570.833984375","11570.833984375","11570.833984375","12125.5126953125","12125.5126953125","12125.5126953125"
"16799","12211.9443359375","12211.9443359375","12211.9443359375","12220.869140625","12220.869140625","12220.869140625","12206.8095703125","12206.8095703125","12206.8095703125","11146.4814453125","11146.4814453125","11146.4814453125","11572.8232421875","11572.8232421875","11572.8232421875","12122.3818359375","12122.3818359375","12122.3818359375"
"17399","12214.65625","12214.65625","12214.65625","12227.3818359375","12227.3818359375","12227.3818359375","12212.89453125","12212.89453125","12212.89453125","11154.6962890625","11154.6962890625","11154.6962890625","11591.1240234375","11591.1240234375","11591.1240234375","12131.421875","12131.421875","12131.421875"
"17999","12204.8046875","12204.8046875","12204.8046875","12216.9365234375","12216.9365234375","12216.9365234375","12204.4951171875","12204.4951171875","12204.4951171875","11140.8779296875","11140.8779296875","11140.8779296875","11581.7578125","11581.7578125","11581.7578125","12125.59765625","12125.59765625","12125.59765625"
"18599","12214.984375","12214.984375","12214.984375","12227.923828125","12227.923828125","12227.923828125","12210.1630859375","12210.1630859375","12210.1630859375","11160.603515625","11160.603515625","11160.603515625","11602.7919921875","11602.7919921875","11602.7919921875","12131.24609375","12131.24609375","12131.24609375"
"19199","12210.7607421875","12210.7607421875","12210.7607421875","12224.6162109375","12224.6162109375","12224.6162109375","12208.447265625","12208.447265625","12208.447265625","11162.75390625","11162.75390625","11162.75390625","11606.890625","11606.890625","11606.890625","12133.1298828125","12133.1298828125","12133.1298828125"
"19799","12209.634765625","12209.634765625","12209.634765625","12227.345703125","12227.345703125","12227.345703125","12205.8798828125","12205.8798828125","12205.8798828125","11164.6787109375","11164.6787109375","11164.6787109375","11609.2734375","11609.2734375","11609.2734375","12131.603515625","12131.603515625","12131.603515625"
