"Step","layer0_residual_mid_gpt2_jumprelu - sparsity.l0","layer0_residual_mid_gpt2_jumprelu - sparsity.l0__MIN","layer0_residual_mid_gpt2_jumprelu - sparsity.l0__MAX","layer0_residual_mid_gpt2_singular_fisher - sparsity.l0","layer0_residual_mid_gpt2_singular_fisher - sparsity.l0__MIN","layer0_residual_mid_gpt2_singular_fisher - sparsity.l0__MAX","layer10_residual_mid_gpt2_jumprelu - sparsity.l0","layer10_residual_mid_gpt2_jumprelu - sparsity.l0__MIN","layer10_residual_mid_gpt2_jumprelu - sparsity.l0__MAX","layer10_residual_mid_gpt2_singular_fisher - sparsity.l0","layer10_residual_mid_gpt2_singular_fisher - sparsity.l0__MIN","layer10_residual_mid_gpt2_singular_fisher - sparsity.l0__MAX","layer5_residual_mid_gpt2_jumprelu - sparsity.l0","layer5_residual_mid_gpt2_jumprelu - sparsity.l0__MIN","layer5_residual_mid_gpt2_jumprelu - sparsity.l0__MAX","layer5_residual_mid_gpt2_singular_fisher - sparsity.l0","layer5_residual_mid_gpt2_singular_fisher - sparsity.l0__MIN","layer5_residual_mid_gpt2_singular_fisher - sparsity.l0__MAX"
"13199","12108.8544921875","12108.8544921875","12108.8544921875","7245.09912109375","7245.09912109375","7245.09912109375","11881.1162109375","11881.1162109375","11881.1162109375","7106.71337890625","7106.71337890625","7106.71337890625","11850.1865234375","11850.1865234375","11850.1865234375","6678.0791015625","6678.0791015625","6678.0791015625"
"13799","12124.2138671875","12124.2138671875","12124.2138671875","7237.62109375","7237.62109375","7237.62109375","11858.607421875","11858.607421875","11858.607421875","7032.22607421875","7032.22607421875","7032.22607421875","11819.9716796875","11819.9716796875","11819.9716796875","6784.18603515625","6784.18603515625","6784.18603515625"
"14399","12118.6572265625","12118.6572265625","12118.6572265625","7239.2578125","7239.2578125","7239.2578125","11855.828125","11855.828125","11855.828125","7182.92041015625","7182.92041015625","7182.92041015625","11817.4345703125","11817.4345703125","11817.4345703125","6741.86669921875","6741.86669921875","6741.86669921875"
"14999","12111.0810546875","12111.0810546875","12111.0810546875","7205.51416015625","7205.51416015625","7205.51416015625","11862.0908203125","11862.0908203125","11862.0908203125","7226.578125","7226.578125","7226.578125","11842.9013671875","11842.9013671875","11842.9013671875","6737.06103515625","6737.06103515625","6737.06103515625"
"15599","12117.671875","12117.671875","12117.671875","7222.734375","7222.734375","7222.734375","11852.359375","11852.359375","11852.359375","7200.5478515625","7200.5478515625","7200.5478515625","11867.4755859375","11867.4755859375","11867.4755859375","6749.23974609375","6749.23974609375","6749.23974609375"
"16199","12113.353515625","12113.353515625","12113.353515625","7188.7744140625","7188.7744140625","7188.7744140625","11857.0361328125","11857.0361328125","11857.0361328125","7300.671875","7300.671875","7300.671875","11787.0732421875","11787.0732421875","11787.0732421875","6696.67041015625","6696.67041015625","6696.67041015625"
"16799","12105.431640625","12105.431640625","12105.431640625","7209.20458984375","7209.20458984375","7209.20458984375","11873.5517578125","11873.5517578125","11873.5517578125","7359.3759765625","7359.3759765625","7359.3759765625","11818.298828125","11818.298828125","11818.298828125","6687.06591796875","6687.06591796875","6687.06591796875"
"17399","12093.2958984375","12093.2958984375","12093.2958984375","7160.90380859375","7160.90380859375","7160.90380859375","11871.8193359375","11871.8193359375","11871.8193359375","7317.38525390625","7317.38525390625","7317.38525390625","11797.85546875","11797.85546875","11797.85546875","6736.56884765625","6736.56884765625","6736.56884765625"
"17999","12096.0302734375","12096.0302734375","12096.0302734375","7161.29248046875","7161.29248046875","7161.29248046875","11904.2548828125","11904.2548828125","11904.2548828125","7328.22509765625","7328.22509765625","7328.22509765625","11816.1640625","11816.1640625","11816.1640625","6617.22265625","6617.22265625","6617.22265625"
"18599","12098.3017578125","12098.3017578125","12098.3017578125","7129.43115234375","7129.43115234375","7129.43115234375","11930.869140625","11930.869140625","11930.869140625","7388.0859375","7388.0859375","7388.0859375","11826.103515625","11826.103515625","11826.103515625","6723.72021484375","6723.72021484375","6723.72021484375"
"19199","12104.3310546875","12104.3310546875","12104.3310546875","7145.55615234375","7145.55615234375","7145.55615234375","11918.6357421875","11918.6357421875","11918.6357421875","7378.5","7378.5","7378.5","11822.1884765625","11822.1884765625","11822.1884765625","6752.69384765625","6752.69384765625","6752.69384765625"
"19799","12107.783203125","12107.783203125","12107.783203125","7124.1455078125","7124.1455078125","7124.1455078125","11924.71875","11924.71875","11924.71875","7244.04833984375","7244.04833984375","7244.04833984375","11762.1630859375","11762.1630859375","11762.1630859375","6689.4111328125","6689.4111328125","6689.4111328125"
