"Step","layer0_mlp_gpt2_jumprelu - losses/l0_loss","layer0_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer0_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer0_mlp_gpt2_singular_fisher - losses/l0_loss","layer0_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer0_mlp_gpt2_singular_fisher - losses/l0_loss__MAX","layer10_mlp_gpt2_jumprelu - losses/l0_loss","layer10_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer10_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer10_mlp_gpt2_singular_fisher - losses/l0_loss","layer10_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer10_mlp_gpt2_singular_fisher - losses/l0_loss__MAX","layer5_mlp_gpt2_jumprelu - losses/l0_loss","layer5_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer5_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer5_mlp_gpt2_singular_fisher - losses/l0_loss","layer5_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer5_mlp_gpt2_singular_fisher - losses/l0_loss__MAX"
"989","60318.6484375","60318.6484375","60318.6484375","35185.6484375","35185.6484375","35185.6484375","60827.1484375","60827.1484375","60827.1484375","37740.05078125","37740.05078125","37740.05078125","60108.546875","60108.546875","60108.546875","36581.19921875","36581.19921875","36581.19921875"
"1019","59827.59765625","59827.59765625","59827.59765625","35418.59765625","35418.59765625","35418.59765625","60353.44921875","60353.44921875","60353.44921875","37276","37276","37276","59487.546875","59487.546875","59487.546875","36503.30078125","36503.30078125","36503.30078125"
"1049","59961.1484375","59961.1484375","59961.1484375","35192.5","35192.5","35192.5","60152.046875","60152.046875","60152.046875","37598.69921875","37598.69921875","37598.69921875","59830.6484375","59830.6484375","59830.6484375","36409.30078125","36409.30078125","36409.30078125"
"1079","59603.34765625","59603.34765625","59603.34765625","35067.1484375","35067.1484375","35067.1484375","60436.94921875","60436.94921875","60436.94921875","36912.59765625","36912.59765625","36912.59765625","59266.1484375","59266.1484375","59266.1484375","36521.59765625","36521.59765625","36521.59765625"
"1109","60237.6484375","60237.6484375","60237.6484375","34957.34765625","34957.34765625","34957.34765625","60547.6484375","60547.6484375","60547.6484375","36463.25","36463.25","36463.25","59387.44921875","59387.44921875","59387.44921875","36686.55078125","36686.55078125","36686.55078125"
"1139","60301.6484375","60301.6484375","60301.6484375","34705.25","34705.25","34705.25","60806.94921875","60806.94921875","60806.94921875","36929.69921875","36929.69921875","36929.69921875","60110.94921875","60110.94921875","60110.94921875","36350.44921875","36350.44921875","36350.44921875"
"1169","60170.546875","60170.546875","60170.546875","34907.55078125","34907.55078125","34907.55078125","60766.94921875","60766.94921875","60766.94921875","38057.3984375","38057.3984375","38057.3984375","59713.75","59713.75","59713.75","36163.34765625","36163.34765625","36163.34765625"
"1199","60123.296875","60123.296875","60123.296875","34806.1484375","34806.1484375","34806.1484375","60787.34765625","60787.34765625","60787.34765625","37731.09765625","37731.09765625","37731.09765625","60177.34765625","60177.34765625","60177.34765625","36585.09765625","36585.09765625","36585.09765625"
"1229","59694.25","59694.25","59694.25","34945.55078125","34945.55078125","34945.55078125","60077","60077","60077","36700.69921875","36700.69921875","36700.69921875","59388.296875","59388.296875","59388.296875","36209.84765625","36209.84765625","36209.84765625"
"1259","59751.84765625","59751.84765625","59751.84765625","34719.5","34719.5","34719.5","60653.59765625","60653.59765625","60653.59765625","37225.44921875","37225.44921875","37225.44921875","59351.94921875","59351.94921875","59351.94921875","35953.6484375","35953.6484375","35953.6484375"
"1289","60292.25","60292.25","60292.25","34943.6484375","34943.6484375","34943.6484375","60730.796875","60730.796875","60730.796875","36842","36842","36842","60021.5","60021.5","60021.5","36108.84765625","36108.84765625","36108.84765625"
"1319","60030.046875","60030.046875","60030.046875","34867.84765625","34867.84765625","34867.84765625","60513.75","60513.75","60513.75","37203.6484375","37203.6484375","37203.6484375","59564","59564","59564","36452.05078125","36452.05078125","36452.05078125"
"1349","59994","59994","59994","35162.69921875","35162.69921875","35162.69921875","60808.546875","60808.546875","60808.546875","37578.19921875","37578.19921875","37578.19921875","59549.296875","59549.296875","59549.296875","35917.55078125","35917.55078125","35917.55078125"
"1379","60018.34765625","60018.34765625","60018.34765625","34852.94921875","34852.94921875","34852.94921875","60379.94921875","60379.94921875","60379.94921875","37126.75","37126.75","37126.75","59774","59774","59774","35833.34765625","35833.34765625","35833.34765625"
"1409","60174.59765625","60174.59765625","60174.59765625","34856.30078125","34856.30078125","34856.30078125","60502.59765625","60502.59765625","60502.59765625","37542.6484375","37542.6484375","37542.6484375","59478.34765625","59478.34765625","59478.34765625","36350.1484375","36350.1484375","36350.1484375"
"1439","60226.046875","60226.046875","60226.046875","34511.59765625","34511.59765625","34511.59765625","60772.84765625","60772.84765625","60772.84765625","37162.19921875","37162.19921875","37162.19921875","60119.296875","60119.296875","60119.296875","35975.69921875","35975.69921875","35975.69921875"
