"Step","layer_0_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX"
"14399","12127.6044921875","12127.6044921875","12127.6044921875","100","100","100","12139.978515625","12139.978515625","12139.978515625","484.068603515625","484.068603515625","484.068603515625","8865.1103515625","8865.1103515625","8865.1103515625","100","100","100","8886.791015625","8886.791015625","8886.791015625","377.4380187988281","377.4380187988281","377.4380187988281"
"14999","12128.4599609375","12128.4599609375","12128.4599609375","100","100","100","12135.1748046875","12135.1748046875","12135.1748046875","473.5282287597656","473.5282287597656","473.5282287597656","8778.8408203125","8778.8408203125","8778.8408203125","100","100","100","8806.1376953125","8806.1376953125","8806.1376953125","368.45050048828125","368.45050048828125","368.45050048828125"
"15599","12133.0546875","12133.0546875","12133.0546875","100","100","100","12137.6494140625","12137.6494140625","12137.6494140625","459.79638671875","459.79638671875","459.79638671875","8696.875","8696.875","8696.875","100","100","100","8722.642578125","8722.642578125","8722.642578125","359.7076721191406","359.7076721191406","359.7076721191406"
"16199","12143.451171875","12143.451171875","12143.451171875","100","100","100","12142.134765625","12142.134765625","12142.134765625","444.2826232910156","444.2826232910156","444.2826232910156","8616.6005859375","8616.6005859375","8616.6005859375","100","100","100","8636.234375","8636.234375","8636.234375","347.3232727050781","347.3232727050781","347.3232727050781"
"16799","12129.033203125","12129.033203125","12129.033203125","100","100","100","12138.6259765625","12138.6259765625","12138.6259765625","430.8326110839844","430.8326110839844","430.8326110839844","8533.845703125","8533.845703125","8533.845703125","100","100","100","8549.1943359375","8549.1943359375","8549.1943359375","337.31201171875","337.31201171875","337.31201171875"
"17399","12131.2177734375","12131.2177734375","12131.2177734375","100","100","100","12140.416015625","12140.416015625","12140.416015625","424.42950439453125","424.42950439453125","424.42950439453125","8467.5966796875","8467.5966796875","8467.5966796875","100","100","100","8487.8193359375","8487.8193359375","8487.8193359375","332.96954345703125","332.96954345703125","332.96954345703125"
"17999","12118.0078125","12118.0078125","12118.0078125","100","100","100","12127.0859375","12127.0859375","12127.0859375","412.08966064453125","412.08966064453125","412.08966064453125","8405.4482421875","8405.4482421875","8405.4482421875","100","100","100","8419.5439453125","8419.5439453125","8419.5439453125","324.29241943359375","324.29241943359375","324.29241943359375"
"18599","12132.1005859375","12132.1005859375","12132.1005859375","100","100","100","12129.59765625","12129.59765625","12129.59765625","399.0075378417969","399.0075378417969","399.0075378417969","8339.4208984375","8339.4208984375","8339.4208984375","100","100","100","8358.171875","8358.171875","8358.171875","313.6667175292969","313.6667175292969","313.6667175292969"
"19199","12123.07421875","12123.07421875","12123.07421875","100","100","100","12127.5302734375","12127.5302734375","12127.5302734375","391.3017578125","391.3017578125","391.3017578125","8269.392578125","8269.392578125","8269.392578125","100","100","100","8289.693359375","8289.693359375","8289.693359375","308.6547546386719","308.6547546386719","308.6547546386719"
"19799","12127.8896484375","12127.8896484375","12127.8896484375","100","100","100","12130.345703125","12130.345703125","12130.345703125","379.8844909667969","379.8844909667969","379.8844909667969","8204.455078125","8204.455078125","8204.455078125","100","100","100","8223.291015625","8223.291015625","8223.291015625","300.12774658203125","300.12774658203125","300.12774658203125"
