"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX"
"8999","584.87548828125","584.87548828125","584.87548828125","301.2270202636719","301.2270202636719","301.2270202636719","236.87710571289062","236.87710571289062","236.87710571289062","498.96319580078125","498.96319580078125","498.96319580078125","300.69000244140625","300.69000244140625","300.69000244140625","230.6372833251953","230.6372833251953","230.6372833251953"
"9599","559.7244873046875","559.7244873046875","559.7244873046875","283.1932067871094","283.1932067871094","283.1932067871094","222.75064086914062","222.75064086914062","222.75064086914062","475.6452331542969","475.6452331542969","475.6452331542969","283.2461242675781","283.2461242675781","283.2461242675781","216.66983032226562","216.66983032226562","216.66983032226562"
"10199","545.4279174804688","545.4279174804688","545.4279174804688","279.67205810546875","279.67205810546875","279.67205810546875","216.5262451171875","216.5262451171875","216.5262451171875","462.16729736328125","462.16729736328125","462.16729736328125","279.73773193359375","279.73773193359375","279.73773193359375","211.36489868164062","211.36489868164062","211.36489868164062"
"10799","524.3681030273438","524.3681030273438","524.3681030273438","267.3695068359375","267.3695068359375","267.3695068359375","208.6573028564453","208.6573028564453","208.6573028564453","441.5941467285156","441.5941467285156","441.5941467285156","267.03070068359375","267.03070068359375","267.03070068359375","203.6195831298828","203.6195831298828","203.6195831298828"
"11399","513.1696166992188","513.1696166992188","513.1696166992188","255.3703155517578","255.3703155517578","255.3703155517578","199.02537536621094","199.02537536621094","199.02537536621094","430.6483459472656","430.6483459472656","430.6483459472656","255.2157745361328","255.2157745361328","255.2157745361328","194.7986297607422","194.7986297607422","194.7986297607422"
"11999","513.9893798828125","513.9893798828125","513.9893798828125","246.0912322998047","246.0912322998047","246.0912322998047","192.0037384033203","192.0037384033203","192.0037384033203","428.84356689453125","428.84356689453125","428.84356689453125","246.1737518310547","246.1737518310547","246.1737518310547","188.2620849609375","188.2620849609375","188.2620849609375"
"12599","484.74786376953125","484.74786376953125","484.74786376953125","235.82200622558594","235.82200622558594","235.82200622558594","183.33665466308594","183.33665466308594","183.33665466308594","405.1333312988281","405.1333312988281","405.1333312988281","236.4156951904297","236.4156951904297","236.4156951904297","180.17283630371094","180.17283630371094","180.17283630371094"
"13199","470.8936462402344","470.8936462402344","470.8936462402344","227.54605102539062","227.54605102539062","227.54605102539062","177.8359375","177.8359375","177.8359375","390.87579345703125","390.87579345703125","390.87579345703125","227.6566925048828","227.6566925048828","227.6566925048828","174.6085205078125","174.6085205078125","174.6085205078125"
"13799","464.4131774902344","464.4131774902344","464.4131774902344","223.0352020263672","223.0352020263672","223.0352020263672","172.2265167236328","172.2265167236328","172.2265167236328","384.82305908203125","384.82305908203125","384.82305908203125","223.30252075195312","223.30252075195312","223.30252075195312","168.95462036132812","168.95462036132812","168.95462036132812"
"14399","445.6358947753906","445.6358947753906","445.6358947753906","214.01455688476562","214.01455688476562","214.01455688476562","166.991455078125","166.991455078125","166.991455078125","367.9054870605469","367.9054870605469","367.9054870605469","214.1910858154297","214.1910858154297","214.1910858154297","163.9240264892578","163.9240264892578","163.9240264892578"
"14999","434.7857971191406","434.7857971191406","434.7857971191406","205.87449645996094","205.87449645996094","205.87449645996094","160.1707763671875","160.1707763671875","160.1707763671875","358.7019348144531","358.7019348144531","358.7019348144531","206.2667694091797","206.2667694091797","206.2667694091797","157.73452758789062","157.73452758789062","157.73452758789062"
"15599","428.7707214355469","428.7707214355469","428.7707214355469","200.31753540039062","200.31753540039062","200.31753540039062","155.9713897705078","155.9713897705078","155.9713897705078","352.31390380859375","352.31390380859375","352.31390380859375","200.6694793701172","200.6694793701172","200.6694793701172","153.1915740966797","153.1915740966797","153.1915740966797"
"16199","418.1361389160156","418.1361389160156","418.1361389160156","197.59423828125","197.59423828125","197.59423828125","153.5188446044922","153.5188446044922","153.5188446044922","343.5511779785156","343.5511779785156","343.5511779785156","198.22105407714844","198.22105407714844","198.22105407714844","151.13658142089844","151.13658142089844","151.13658142089844"
"16799","416.25762939453125","416.25762939453125","416.25762939453125","192.19094848632812","192.19094848632812","192.19094848632812","147.52610778808594","147.52610778808594","147.52610778808594","340.76470947265625","340.76470947265625","340.76470947265625","192.6325225830078","192.6325225830078","192.6325225830078","145.36863708496094","145.36863708496094","145.36863708496094"
"17399","397.0433044433594","397.0433044433594","397.0433044433594","185.5823211669922","185.5823211669922","185.5823211669922","146.0913848876953","146.0913848876953","146.0913848876953","327.44744873046875","327.44744873046875","327.44744873046875","186.0531768798828","186.0531768798828","186.0531768798828","143.86880493164062","143.86880493164062","143.86880493164062"
"17999","396.2486877441406","396.2486877441406","396.2486877441406","183.02964782714844","183.02964782714844","183.02964782714844","140.842041015625","140.842041015625","140.842041015625","325.7384338378906","325.7384338378906","325.7384338378906","183.6687774658203","183.6687774658203","183.6687774658203","139.06826782226562","139.06826782226562","139.06826782226562"
"18599","373.617431640625","373.617431640625","373.617431640625","175.19346618652344","175.19346618652344","175.19346618652344","137.8571319580078","137.8571319580078","137.8571319580078","304.83721923828125","304.83721923828125","304.83721923828125","175.90061950683594","175.90061950683594","175.90061950683594","135.65762329101562","135.65762329101562","135.65762329101562"
"19199","380.029541015625","380.029541015625","380.029541015625","173.7748260498047","173.7748260498047","173.7748260498047","134.9612274169922","134.9612274169922","134.9612274169922","310.5061950683594","310.5061950683594","310.5061950683594","174.44607543945312","174.44607543945312","174.44607543945312","133.1361541748047","133.1361541748047","133.1361541748047"
"19799","364.7586364746094","364.7586364746094","364.7586364746094","169.26858520507812","169.26858520507812","169.26858520507812","132.2574005126953","132.2574005126953","132.2574005126953","298.5206298828125","298.5206298828125","298.5206298828125","169.9402618408203","169.9402618408203","169.9402618408203","130.4447479248047","130.4447479248047","130.4447479248047"
