"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX"
"10799","4879.00146484375","4879.00146484375","4879.00146484375","6795.02880859375","6795.02880859375","6795.02880859375","4657.24365234375","4657.24365234375","4657.24365234375","3699.874267578125","3699.874267578125","3699.874267578125","5060.55029296875","5060.55029296875","5060.55029296875","5129.380859375","5129.380859375","5129.380859375"
"11399","4865.53564453125","4865.53564453125","4865.53564453125","6931.04931640625","6931.04931640625","6931.04931640625","4637.85888671875","4637.85888671875","4637.85888671875","3717.25830078125","3717.25830078125","3717.25830078125","5115.21533203125","5115.21533203125","5115.21533203125","5156.70849609375","5156.70849609375","5156.70849609375"
"11999","4881.91064453125","4881.91064453125","4881.91064453125","6875.43115234375","6875.43115234375","6875.43115234375","4569.17529296875","4569.17529296875","4569.17529296875","3743.211669921875","3743.211669921875","3743.211669921875","5119.3935546875","5119.3935546875","5119.3935546875","5131.97900390625","5131.97900390625","5131.97900390625"
"12599","4786.14404296875","4786.14404296875","4786.14404296875","6860.76123046875","6860.76123046875","6860.76123046875","4517.30029296875","4517.30029296875","4517.30029296875","3748.973876953125","3748.973876953125","3748.973876953125","5144.75341796875","5144.75341796875","5144.75341796875","5142.17919921875","5142.17919921875","5142.17919921875"
"13199","4835.64697265625","4835.64697265625","4835.64697265625","7027.3486328125","7027.3486328125","7027.3486328125","4561.1943359375","4561.1943359375","4561.1943359375","3760.069580078125","3760.069580078125","3760.069580078125","5129.61474609375","5129.61474609375","5129.61474609375","5136.28515625","5136.28515625","5136.28515625"
"13799","4809.0732421875","4809.0732421875","4809.0732421875","6919.8671875","6919.8671875","6919.8671875","4505.63427734375","4505.63427734375","4505.63427734375","3759.350830078125","3759.350830078125","3759.350830078125","5110.08837890625","5110.08837890625","5110.08837890625","5131.63623046875","5131.63623046875","5131.63623046875"
"14399","4813.9580078125","4813.9580078125","4813.9580078125","6954.5791015625","6954.5791015625","6954.5791015625","4582.93994140625","4582.93994140625","4582.93994140625","3766.593017578125","3766.593017578125","3766.593017578125","5120.43603515625","5120.43603515625","5120.43603515625","5133.8681640625","5133.8681640625","5133.8681640625"
"14999","4770.61962890625","4770.61962890625","4770.61962890625","6932.54248046875","6932.54248046875","6932.54248046875","4516.34765625","4516.34765625","4516.34765625","3761.24462890625","3761.24462890625","3761.24462890625","5157.44775390625","5157.44775390625","5157.44775390625","5131.06494140625","5131.06494140625","5131.06494140625"
"15599","4733.796875","4733.796875","4733.796875","6889.45947265625","6889.45947265625","6889.45947265625","4456.11181640625","4456.11181640625","4456.11181640625","3775.931640625","3775.931640625","3775.931640625","5158.15087890625","5158.15087890625","5158.15087890625","5110.0927734375","5110.0927734375","5110.0927734375"
"16199","4602.90576171875","4602.90576171875","4602.90576171875","6693.19140625","6693.19140625","6693.19140625","4351.47216796875","4351.47216796875","4351.47216796875","3749.321533203125","3749.321533203125","3749.321533203125","5094.65576171875","5094.65576171875","5094.65576171875","5099.68359375","5099.68359375","5099.68359375"
"16799","4655.248046875","4655.248046875","4655.248046875","6823.68603515625","6823.68603515625","6823.68603515625","4386.3837890625","4386.3837890625","4386.3837890625","3753.33203125","3753.33203125","3753.33203125","5138.02294921875","5138.02294921875","5138.02294921875","5102.75244140625","5102.75244140625","5102.75244140625"
"17399","4614.8134765625","4614.8134765625","4614.8134765625","6843.20458984375","6843.20458984375","6843.20458984375","4381.671875","4381.671875","4381.671875","3761.006591796875","3761.006591796875","3761.006591796875","5102.50537109375","5102.50537109375","5102.50537109375","5080.48095703125","5080.48095703125","5080.48095703125"
"17999","4696.07275390625","4696.07275390625","4696.07275390625","6839.66015625","6839.66015625","6839.66015625","4401.11083984375","4401.11083984375","4401.11083984375","3764.073486328125","3764.073486328125","3764.073486328125","5093.89794921875","5093.89794921875","5093.89794921875","5066.78369140625","5066.78369140625","5066.78369140625"
"18599","4572.1806640625","4572.1806640625","4572.1806640625","6892.58056640625","6892.58056640625","6892.58056640625","4319.09375","4319.09375","4319.09375","3735.587890625","3735.587890625","3735.587890625","5113.203125","5113.203125","5113.203125","5063.64453125","5063.64453125","5063.64453125"
"19199","4503.75537109375","4503.75537109375","4503.75537109375","6673.17041015625","6673.17041015625","6673.17041015625","4215.97705078125","4215.97705078125","4215.97705078125","3742.047607421875","3742.047607421875","3742.047607421875","5099.33056640625","5099.33056640625","5099.33056640625","5069.65185546875","5069.65185546875","5069.65185546875"
"19799","4498.08349609375","4498.08349609375","4498.08349609375","6701.39404296875","6701.39404296875","6701.39404296875","4248.51416015625","4248.51416015625","4248.51416015625","3738.267333984375","3738.267333984375","3738.267333984375","5106.1123046875","5106.1123046875","5106.1123046875","5047.62451171875","5047.62451171875","5047.62451171875"
