"Step","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss__MAX"
"2669","1748.036865234375","1748.036865234375","1748.036865234375","1748.036865234375","1748.036865234375","1748.036865234375","1748.036865234375","1748.036865234375","1748.036865234375","","","","","","","","",""
"2699","1746.5748291015625","1746.5748291015625","1746.5748291015625","1746.5748291015625","1746.5748291015625","1746.5748291015625","1746.5748291015625","1746.5748291015625","1746.5748291015625","","","","","","","","",""
"2729","1686.77978515625","1686.77978515625","1686.77978515625","1686.77978515625","1686.77978515625","1686.77978515625","1686.77978515625","1686.77978515625","1686.77978515625","","","","","","","","",""
"2759","1788.7724609375","1788.7724609375","1788.7724609375","1788.7724609375","1788.7724609375","1788.7724609375","1788.7724609375","1788.7724609375","1788.7724609375","","","","","","","","",""
"2789","1750.546142578125","1750.546142578125","1750.546142578125","1750.546142578125","1750.546142578125","1750.546142578125","1750.546142578125","1750.546142578125","1750.546142578125","","","","","","","","",""
"2819","1844.27734375","1844.27734375","1844.27734375","1844.27734375","1844.27734375","1844.27734375","1844.27734375","1844.27734375","1844.27734375","","","","","","","","",""
"2849","1741.868408203125","1741.868408203125","1741.868408203125","1741.868408203125","1741.868408203125","1741.868408203125","1741.868408203125","1741.868408203125","1741.868408203125","","","","","","","","",""
"2879","1804.668701171875","1804.668701171875","1804.668701171875","1804.668701171875","1804.668701171875","1804.668701171875","1804.668701171875","1804.668701171875","1804.668701171875","","","","","","","","",""
"2909","1684.1053466796875","1684.1053466796875","1684.1053466796875","1684.1053466796875","1684.1053466796875","1684.1053466796875","1684.1053466796875","1684.1053466796875","1684.1053466796875","","","","","","","","",""
"2939","1777.121337890625","1777.121337890625","1777.121337890625","1777.121337890625","1777.121337890625","1777.121337890625","1777.121337890625","1777.121337890625","1777.121337890625","","","","","","","","",""
