"Step","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss__MAX"
"8609","1080.065185546875","1080.065185546875","1080.065185546875","1080.065185546875","1080.065185546875","1080.065185546875","","","","","","","","","","","",""
"8639","1048.294921875","1048.294921875","1048.294921875","1048.294921875","1048.294921875","1048.294921875","","","","","","","","","","","",""
"8669","1109.2576904296875","1109.2576904296875","1109.2576904296875","1109.2576904296875","1109.2576904296875","1109.2576904296875","","","","","","","","","","","",""
"8699","1060.8607177734375","1060.8607177734375","1060.8607177734375","1060.8607177734375","1060.8607177734375","1060.8607177734375","","","","","","","","","","","",""
"8729","1061.564208984375","1061.564208984375","1061.564208984375","1061.564208984375","1061.564208984375","1061.564208984375","","","","","","","","","","","",""
"8759","1035.53515625","1035.53515625","1035.53515625","1035.53515625","1035.53515625","1035.53515625","","","","","","","","","","","",""
"8789","1103.161376953125","1103.161376953125","1103.161376953125","1103.161376953125","1103.161376953125","1103.161376953125","","","","","","","","","","","",""
"8819","1027.7265625","1027.7265625","1027.7265625","1027.7265625","1027.7265625","1027.7265625","","","","","","","","","","","",""
"8849","1057.3858642578125","1057.3858642578125","1057.3858642578125","1057.3858642578125","1057.3858642578125","1057.3858642578125","","","","","","","","","","","",""
"8879","1014.773193359375","1014.773193359375","1014.773193359375","1014.773193359375","1014.773193359375","1014.773193359375","","","","","","","","","","","",""
"8909","1072.02001953125","1072.02001953125","1072.02001953125","1072.02001953125","1072.02001953125","1072.02001953125","","","","","","","","","","","",""
"8939","1043.455322265625","1043.455322265625","1043.455322265625","1043.455322265625","1043.455322265625","1043.455322265625","","","","","","","","","","","",""
"8969","1095.392822265625","1095.392822265625","1095.392822265625","1095.392822265625","1095.392822265625","1095.392822265625","","","","","","","","","","","",""
"8999","1048.7310791015625","1048.7310791015625","1048.7310791015625","1048.7310791015625","1048.7310791015625","1048.7310791015625","","","","","","","","","","","",""
"9029","1030.5780029296875","1030.5780029296875","1030.5780029296875","1030.5780029296875","1030.5780029296875","1030.5780029296875","","","","","","","","","","","",""
"9059","1005.78125","1005.78125","1005.78125","1005.78125","1005.78125","1005.78125","","","","","","","","","","","",""
"9089","1035.6851806640625","1035.6851806640625","1035.6851806640625","1035.6851806640625","1035.6851806640625","1035.6851806640625","","","","","","","","","","","",""
"9119","989.01953125","989.01953125","989.01953125","989.01953125","989.01953125","989.01953125","","","","","","","","","","","",""
"9149","1013.9701538085938","1013.9701538085938","1013.9701538085938","1013.9701538085938","1013.9701538085938","1013.9701538085938","","","","","","","","","","","",""
"9179","998.1849365234375","998.1849365234375","998.1849365234375","998.1849365234375","998.1849365234375","998.1849365234375","","","","","","","","","","","",""
"9209","1050.6903076171875","1050.6903076171875","1050.6903076171875","1050.6903076171875","1050.6903076171875","1050.6903076171875","","","","","","","","","","","",""
"9239","988.4953002929688","988.4953002929688","988.4953002929688","988.4953002929688","988.4953002929688","988.4953002929688","","","","","","","","","","","",""
"9269","1003.2769775390625","1003.2769775390625","1003.2769775390625","1003.2769775390625","1003.2769775390625","1003.2769775390625","","","","","","","","","","","",""
"9299","1019.4649658203125","1019.4649658203125","1019.4649658203125","1019.4649658203125","1019.4649658203125","1019.4649658203125","","","","","","","","","","","",""
"9329","1027.12158203125","1027.12158203125","1027.12158203125","1027.12158203125","1027.12158203125","1027.12158203125","","","","","","","","","","","",""
"9359","969.153076171875","969.153076171875","969.153076171875","969.153076171875","969.153076171875","969.153076171875","","","","","","","","","","","",""
"9389","1007.8822021484375","1007.8822021484375","1007.8822021484375","1007.8822021484375","1007.8822021484375","1007.8822021484375","","","","","","","","","","","",""
"9419","970.511474609375","970.511474609375","970.511474609375","970.511474609375","970.511474609375","970.511474609375","","","","","","","","","","","",""
"9449","993.2628784179688","993.2628784179688","993.2628784179688","993.2628784179688","993.2628784179688","993.2628784179688","","","","","","","","","","","",""
"9479","967.6614990234375","967.6614990234375","967.6614990234375","967.6614990234375","967.6614990234375","967.6614990234375","","","","","","","","","","","",""
"9509","992.5546264648438","992.5546264648438","992.5546264648438","992.5546264648438","992.5546264648438","992.5546264648438","","","","","","","","","","","",""
"9539","971.8328857421875","971.8328857421875","971.8328857421875","971.8328857421875","971.8328857421875","971.8328857421875","","","","","","","","","","","",""
"9569","984.4584350585938","984.4584350585938","984.4584350585938","984.4584350585938","984.4584350585938","984.4584350585938","","","","","","","","","","","",""
"9599","960.5006103515625","960.5006103515625","960.5006103515625","960.5006103515625","960.5006103515625","960.5006103515625","","","","","","","","","","","",""
"9629","986.521728515625","986.521728515625","986.521728515625","986.521728515625","986.521728515625","986.521728515625","","","","","","","","","","","",""
"9659","947.5106201171875","947.5106201171875","947.5106201171875","947.5106201171875","947.5106201171875","947.5106201171875","","","","","","","","","","","",""
"9689","1015.0984497070312","1015.0984497070312","1015.0984497070312","1015.0984497070312","1015.0984497070312","1015.0984497070312","","","","","","","","","","","",""
"9719","959.5931396484375","959.5931396484375","959.5931396484375","959.5931396484375","959.5931396484375","959.5931396484375","","","","","","","","","","","",""
"9749","989.3590087890625","989.3590087890625","989.3590087890625","989.3590087890625","989.3590087890625","989.3590087890625","","","","","","","","","","","",""
"9779","934.1273193359375","934.1273193359375","934.1273193359375","934.1273193359375","934.1273193359375","934.1273193359375","","","","","","","","","","","",""
"9809","975.120361328125","975.120361328125","975.120361328125","975.120361328125","975.120361328125","975.120361328125","","","","","","","","","","","",""
"9839","925.91796875","925.91796875","925.91796875","925.91796875","925.91796875","925.91796875","","","","","","","","","","","",""
"9869","972.884033203125","972.884033203125","972.884033203125","972.884033203125","972.884033203125","972.884033203125","","","","","","","","","","","",""
"9899","978.0653076171875","978.0653076171875","978.0653076171875","978.0653076171875","978.0653076171875","978.0653076171875","","","","","","","","","","","",""
"9929","962.5235595703125","962.5235595703125","962.5235595703125","962.5235595703125","962.5235595703125","962.5235595703125","","","","","","","","","","","",""
"9959","921.8690795898438","921.8690795898438","921.8690795898438","921.8690795898438","921.8690795898438","921.8690795898438","","","","","","","","","","","",""
"9989","975.6331176757812","975.6331176757812","975.6331176757812","975.6331176757812","975.6331176757812","975.6331176757812","","","","","","","","","","","",""
"10019","925.63037109375","925.63037109375","925.63037109375","925.63037109375","925.63037109375","925.63037109375","","","","","","","","","","","",""
"10049","971.5380859375","971.5380859375","971.5380859375","971.5380859375","971.5380859375","971.5380859375","","","","","","","","","","","",""
"10079","907.182373046875","907.182373046875","907.182373046875","907.182373046875","907.182373046875","907.182373046875","","","","","","","","","","","",""
"10109","948.983642578125","948.983642578125","948.983642578125","948.983642578125","948.983642578125","948.983642578125","","","","","","","","","","","",""
"10139","908.7805786132812","908.7805786132812","908.7805786132812","908.7805786132812","908.7805786132812","908.7805786132812","","","","","","","","","","","",""
"10169","937.031982421875","937.031982421875","937.031982421875","937.031982421875","937.031982421875","937.031982421875","","","","","","","","","","","",""
"10199","903.7919311523438","903.7919311523438","903.7919311523438","903.7919311523438","903.7919311523438","903.7919311523438","","","","","","","","","","","",""
"10229","930.457275390625","930.457275390625","930.457275390625","930.457275390625","930.457275390625","930.457275390625","","","","","","","","","","","",""
"10259","897.2679443359375","897.2679443359375","897.2679443359375","897.2679443359375","897.2679443359375","897.2679443359375","","","","","","","","","","","",""
"10289","935.9275512695312","935.9275512695312","935.9275512695312","935.9275512695312","935.9275512695312","935.9275512695312","","","","","","","","","","","",""
"10319","922.997802734375","922.997802734375","922.997802734375","922.997802734375","922.997802734375","922.997802734375","","","","","","","","","","","",""
"10349","932.526611328125","932.526611328125","932.526611328125","932.526611328125","932.526611328125","932.526611328125","","","","","","","","","","","",""
"10379","891.43994140625","891.43994140625","891.43994140625","891.43994140625","891.43994140625","891.43994140625","","","","","","","","","","","",""
"10409","903.2677001953125","903.2677001953125","903.2677001953125","903.2677001953125","903.2677001953125","903.2677001953125","","","","","","","","","","","",""
"10439","897.8425903320312","897.8425903320312","897.8425903320312","897.8425903320312","897.8425903320312","897.8425903320312","","","","","","","","","","","",""
"10469","914.9443969726562","914.9443969726562","914.9443969726562","914.9443969726562","914.9443969726562","914.9443969726562","","","","","","","","","","","",""
"10499","905.5291748046875","905.5291748046875","905.5291748046875","905.5291748046875","905.5291748046875","905.5291748046875","","","","","","","","","","","",""
"10529","922.7135009765625","922.7135009765625","922.7135009765625","922.7135009765625","922.7135009765625","922.7135009765625","","","","","","","","","","","",""
"10559","882.2166137695312","882.2166137695312","882.2166137695312","882.2166137695312","882.2166137695312","882.2166137695312","","","","","","","","","","","",""
"10589","920.3307495117188","920.3307495117188","920.3307495117188","920.3307495117188","920.3307495117188","920.3307495117188","","","","","","","","","","","",""
"10619","874.4456787109375","874.4456787109375","874.4456787109375","874.4456787109375","874.4456787109375","874.4456787109375","","","","","","","","","","","",""
"10649","915.43798828125","915.43798828125","915.43798828125","915.43798828125","915.43798828125","915.43798828125","","","","","","","","","","","",""
"10679","875.1917724609375","875.1917724609375","875.1917724609375","875.1917724609375","875.1917724609375","875.1917724609375","","","","","","","","","","","",""
"10709","900.1220703125","900.1220703125","900.1220703125","900.1220703125","900.1220703125","900.1220703125","","","","","","","","","","","",""
"10739","866.670654296875","866.670654296875","866.670654296875","866.670654296875","866.670654296875","866.670654296875","","","","","","","","","","","",""
"10769","887.5684814453125","887.5684814453125","887.5684814453125","887.5684814453125","887.5684814453125","887.5684814453125","","","","","","","","","","","",""
"10799","871.0972290039062","871.0972290039062","871.0972290039062","871.0972290039062","871.0972290039062","871.0972290039062","","","","","","","","","","","",""
"10829","903.1548461914062","903.1548461914062","903.1548461914062","903.1548461914062","903.1548461914062","903.1548461914062","","","","","","","","","","","",""
"10859","839.5086669921875","839.5086669921875","839.5086669921875","839.5086669921875","839.5086669921875","839.5086669921875","","","","","","","","","","","",""
"10889","897.4036865234375","897.4036865234375","897.4036865234375","897.4036865234375","897.4036865234375","897.4036865234375","","","","","","","","","","","",""
"10919","890.993896484375","890.993896484375","890.993896484375","890.993896484375","890.993896484375","890.993896484375","","","","","","","","","","","",""
"10949","865.1738891601562","865.1738891601562","865.1738891601562","865.1738891601562","865.1738891601562","865.1738891601562","","","","","","","","","","","",""
"10979","830.12548828125","830.12548828125","830.12548828125","830.12548828125","830.12548828125","830.12548828125","","","","","","","","","","","",""
"11009","882.25048828125","882.25048828125","882.25048828125","882.25048828125","882.25048828125","882.25048828125","","","","","","","","","","","",""
"11039","863.9470825195312","863.9470825195312","863.9470825195312","863.9470825195312","863.9470825195312","863.9470825195312","","","","","","","","","","","",""
"11069","862.9930419921875","862.9930419921875","862.9930419921875","862.9930419921875","862.9930419921875","862.9930419921875","","","","","","","","","","","",""
"11099","842.2880859375","842.2880859375","842.2880859375","842.2880859375","842.2880859375","842.2880859375","","","","","","","","","","","",""
"11129","883.6493530273438","883.6493530273438","883.6493530273438","883.6493530273438","883.6493530273438","883.6493530273438","","","","","","","","","","","",""
"11159","837.19091796875","837.19091796875","837.19091796875","837.19091796875","837.19091796875","837.19091796875","","","","","","","","","","","",""
"11189","875.117431640625","875.117431640625","875.117431640625","875.117431640625","875.117431640625","875.117431640625","","","","","","","","","","","",""
"11219","857.1568603515625","857.1568603515625","857.1568603515625","857.1568603515625","857.1568603515625","857.1568603515625","","","","","","","","","","","",""
"11249","856.8276977539062","856.8276977539062","856.8276977539062","856.8276977539062","856.8276977539062","856.8276977539062","","","","","","","","","","","",""
"11279","852.9032592773438","852.9032592773438","852.9032592773438","852.9032592773438","852.9032592773438","852.9032592773438","","","","","","","","","","","",""
"11309","867.852783203125","867.852783203125","867.852783203125","867.852783203125","867.852783203125","867.852783203125","","","","","","","","","","","",""
"11339","834.398193359375","834.398193359375","834.398193359375","834.398193359375","834.398193359375","834.398193359375","","","","","","","","","","","",""
"11369","856.1390380859375","856.1390380859375","856.1390380859375","856.1390380859375","856.1390380859375","856.1390380859375","","","","","","","","","","","",""
"11399","820.83154296875","820.83154296875","820.83154296875","820.83154296875","820.83154296875","820.83154296875","","","","","","","","","","","",""
"11429","832.327880859375","832.327880859375","832.327880859375","832.327880859375","832.327880859375","832.327880859375","","","","","","","","","","","",""
"11459","825.72998046875","825.72998046875","825.72998046875","825.72998046875","825.72998046875","825.72998046875","","","","","","","","","","","",""
"11489","844.3319702148438","844.3319702148438","844.3319702148438","844.3319702148438","844.3319702148438","844.3319702148438","","","","","","","","","","","",""
"11519","813.4249877929688","813.4249877929688","813.4249877929688","813.4249877929688","813.4249877929688","813.4249877929688","","","","","","","","","","","",""
"11549","846.4255981445312","846.4255981445312","846.4255981445312","846.4255981445312","846.4255981445312","846.4255981445312","","","","","","","","","","","",""
"11579","843.1992797851562","843.1992797851562","843.1992797851562","843.1992797851562","843.1992797851562","843.1992797851562","","","","","","","","","","","",""
"11609","846.4707641601562","846.4707641601562","846.4707641601562","846.4707641601562","846.4707641601562","846.4707641601562","","","","","","","","","","","",""
"11639","834.7869873046875","834.7869873046875","834.7869873046875","834.7869873046875","834.7869873046875","834.7869873046875","","","","","","","","","","","",""
"11669","834.3861083984375","834.3861083984375","834.3861083984375","834.3861083984375","834.3861083984375","834.3861083984375","","","","","","","","","","","",""
"11699","806.5838623046875","806.5838623046875","806.5838623046875","806.5838623046875","806.5838623046875","806.5838623046875","","","","","","","","","","","",""
"11729","826.408203125","826.408203125","826.408203125","826.408203125","826.408203125","826.408203125","","","","","","","","","","","",""
"11759","828.8145141601562","828.8145141601562","828.8145141601562","828.8145141601562","828.8145141601562","828.8145141601562","","","","","","","","","","","",""
"11789","835.71923828125","835.71923828125","835.71923828125","835.71923828125","835.71923828125","835.71923828125","","","","","","","","","","","",""
"11819","819.0113525390625","819.0113525390625","819.0113525390625","819.0113525390625","819.0113525390625","819.0113525390625","","","","","","","","","","","",""
"11849","838.679443359375","838.679443359375","838.679443359375","838.679443359375","838.679443359375","838.679443359375","","","","","","","","","","","",""
"11879","813.5601806640625","813.5601806640625","813.5601806640625","813.5601806640625","813.5601806640625","813.5601806640625","","","","","","","","","","","",""
"11909","825.2946166992188","825.2946166992188","825.2946166992188","825.2946166992188","825.2946166992188","825.2946166992188","","","","","","","","","","","",""
"11939","788.019775390625","788.019775390625","788.019775390625","788.019775390625","788.019775390625","788.019775390625","","","","","","","","","","","",""
"11969","831.652099609375","831.652099609375","831.652099609375","831.652099609375","831.652099609375","831.652099609375","","","","","","","","","","","",""
"11999","800.261962890625","800.261962890625","800.261962890625","800.261962890625","800.261962890625","800.261962890625","","","","","","","","","","","",""
"12029","790.6835327148438","790.6835327148438","790.6835327148438","790.6835327148438","790.6835327148438","790.6835327148438","","","","","","","","","","","",""
"12059","790.8021240234375","790.8021240234375","790.8021240234375","790.8021240234375","790.8021240234375","790.8021240234375","","","","","","","","","","","",""
"12089","802.2113037109375","802.2113037109375","802.2113037109375","802.2113037109375","802.2113037109375","802.2113037109375","","","","","","","","","","","",""
"12119","770.375","770.375","770.375","770.375","770.375","770.375","","","","","","","","","","","",""
"12149","837.4201049804688","837.4201049804688","837.4201049804688","837.4201049804688","837.4201049804688","837.4201049804688","","","","","","","","","","","",""
"12179","785.6741943359375","785.6741943359375","785.6741943359375","785.6741943359375","785.6741943359375","785.6741943359375","","","","","","","","","","","",""
"12209","811.081787109375","811.081787109375","811.081787109375","","","","","","","","","","","","","","",""
"12239","795.7562255859375","795.7562255859375","795.7562255859375","","","","","","","","","","","","","","",""
"12269","819.1444702148438","819.1444702148438","819.1444702148438","","","","","","","","","","","","","","",""
"12299","807.9213256835938","807.9213256835938","807.9213256835938","","","","","","","","","","","","","","",""
"12329","803.5086059570312","803.5086059570312","803.5086059570312","","","","","","","","","","","","","","",""
"12359","773.2054443359375","773.2054443359375","773.2054443359375","","","","","","","","","","","","","","",""
"12389","797.7752075195312","797.7752075195312","797.7752075195312","","","","","","","","","","","","","","",""
"12419","775.947021484375","775.947021484375","775.947021484375","","","","","","","","","","","","","","",""
"12449","797.3153076171875","797.3153076171875","797.3153076171875","","","","","","","","","","","","","","",""
"12479","778.9810180664062","778.9810180664062","778.9810180664062","","","","","","","","","","","","","","",""
"12509","789.8675537109375","789.8675537109375","789.8675537109375","","","","","","","","","","","","","","",""
"12539","762.4933471679688","762.4933471679688","762.4933471679688","","","","","","","","","","","","","","",""
"12569","799.1987915039062","799.1987915039062","799.1987915039062","","","","","","","","","","","","","","",""
"12599","763.9154052734375","763.9154052734375","763.9154052734375","","","","","","","","","","","","","","",""
"12629","775.691162109375","775.691162109375","775.691162109375","","","","","","","","","","","","","","",""
"12659","744.9461669921875","744.9461669921875","744.9461669921875","","","","","","","","","","","","","","",""
"12689","786.635009765625","786.635009765625","786.635009765625","","","","","","","","","","","","","","",""
"12719","762.67041015625","762.67041015625","762.67041015625","","","","","","","","","","","","","","",""
"12749","769.6820068359375","769.6820068359375","769.6820068359375","","","","","","","","","","","","","","",""
"12779","745.1329345703125","745.1329345703125","745.1329345703125","","","","","","","","","","","","","","",""
"12809","785.4393310546875","785.4393310546875","785.4393310546875","","","","","","","","","","","","","","",""
"12839","751.158203125","751.158203125","751.158203125","","","","","","","","","","","","","","",""
"12869","779.39990234375","779.39990234375","779.39990234375","","","","","","","","","","","","","","",""
"12899","743.2054443359375","743.2054443359375","743.2054443359375","","","","","","","","","","","","","","",""
"12929","762.1295166015625","762.1295166015625","762.1295166015625","","","","","","","","","","","","","","",""
"12959","751.92822265625","751.92822265625","751.92822265625","","","","","","","","","","","","","","",""
"12989","768.3495483398438","768.3495483398438","768.3495483398438","","","","","","","","","","","","","","",""
"13019","742.3406982421875","742.3406982421875","742.3406982421875","","","","","","","","","","","","","","",""
"13049","760.197998046875","760.197998046875","760.197998046875","","","","","","","","","","","","","","",""
"13079","747.0931396484375","747.0931396484375","747.0931396484375","","","","","","","","","","","","","","",""
"13109","767.0098876953125","767.0098876953125","767.0098876953125","","","","","","","","","","","","","","",""
"13139","740.00439453125","740.00439453125","740.00439453125","","","","","","","","","","","","","","",""
"13169","748.736083984375","748.736083984375","748.736083984375","","","","","","","","","","","","","","",""
"13199","741.2216796875","741.2216796875","741.2216796875","","","","","","","","","","","","","","",""
"13229","758.2344970703125","758.2344970703125","758.2344970703125","","","","","","","","","","","","","","",""
"13259","732.200439453125","732.200439453125","732.200439453125","","","","","","","","","","","","","","",""
"13289","738.692626953125","738.692626953125","738.692626953125","","","","","","","","","","","","","","",""
"13319","734.7159423828125","734.7159423828125","734.7159423828125","","","","","","","","","","","","","","",""
"13349","745.6218872070312","745.6218872070312","745.6218872070312","","","","","","","","","","","","","","",""
"13379","724.5421142578125","724.5421142578125","724.5421142578125","","","","","","","","","","","","","","",""
"13409","744.0482177734375","744.0482177734375","744.0482177734375","","","","","","","","","","","","","","",""
"13439","710.37841796875","710.37841796875","710.37841796875","","","","","","","","","","","","","","",""
"13469","760.4616088867188","760.4616088867188","760.4616088867188","","","","","","","","","","","","","","",""
"13499","697.51513671875","697.51513671875","697.51513671875","","","","","","","","","","","","","","",""
"13529","733.8466796875","733.8466796875","733.8466796875","","","","","","","","","","","","","","",""
"13559","713.4576416015625","713.4576416015625","713.4576416015625","","","","","","","","","","","","","","",""
"13589","735.4539794921875","735.4539794921875","735.4539794921875","","","","","","","","","","","","","","",""
"13619","717.1359252929688","717.1359252929688","717.1359252929688","","","","","","","","","","","","","","",""
"13649","718.758056640625","718.758056640625","718.758056640625","","","","","","","","","","","","","","",""
"13679","718.6665649414062","718.6665649414062","718.6665649414062","","","","","","","","","","","","","","",""
"13709","719.5194091796875","719.5194091796875","719.5194091796875","","","","","","","","","","","","","","",""
"13739","694.241455078125","694.241455078125","694.241455078125","","","","","","","","","","","","","","",""
"13769","732.3450927734375","732.3450927734375","732.3450927734375","","","","","","","","","","","","","","",""
"13799","716.7835083007812","716.7835083007812","716.7835083007812","","","","","","","","","","","","","","",""
"13829","718.8671264648438","718.8671264648438","718.8671264648438","","","","","","","","","","","","","","",""
"13859","693.4880981445312","693.4880981445312","693.4880981445312","","","","","","","","","","","","","","",""
"13889","735.5272216796875","735.5272216796875","735.5272216796875","","","","","","","","","","","","","","",""
"13919","689.5477294921875","689.5477294921875","689.5477294921875","","","","","","","","","","","","","","",""
"13949","710.81298828125","710.81298828125","710.81298828125","","","","","","","","","","","","","","",""
"13979","689.881103515625","689.881103515625","689.881103515625","","","","","","","","","","","","","","",""
"14009","708.736572265625","708.736572265625","708.736572265625","","","","","","","","","","","","","","",""
"14039","712.42041015625","712.42041015625","712.42041015625","","","","","","","","","","","","","","",""
"14069","705.358642578125","705.358642578125","705.358642578125","","","","","","","","","","","","","","",""
"14099","704.5296020507812","704.5296020507812","704.5296020507812","","","","","","","","","","","","","","",""
"14129","709.10498046875","709.10498046875","709.10498046875","","","","","","","","","","","","","","",""
"14159","695.4109497070312","695.4109497070312","695.4109497070312","","","","","","","","","","","","","","",""
"14189","713.311767578125","713.311767578125","713.311767578125","","","","","","","","","","","","","","",""
"14219","687.4100952148438","687.4100952148438","687.4100952148438","","","","","","","","","","","","","","",""
"14249","710.3187255859375","710.3187255859375","710.3187255859375","","","","","","","","","","","","","","",""
"14279","675.1712036132812","675.1712036132812","675.1712036132812","","","","","","","","","","","","","","",""
"14309","706.375","706.375","706.375","","","","","","","","","","","","","","",""
"14339","681.0558471679688","681.0558471679688","681.0558471679688","","","","","","","","","","","","","","",""
"14369","706.083984375","706.083984375","706.083984375","","","","","","","","","","","","","","",""
"14399","690.01806640625","690.01806640625","690.01806640625","","","","","","","","","","","","","","",""
"14429","720.2713623046875","720.2713623046875","720.2713623046875","","","","","","","","","","","","","","",""
"14459","689.2037353515625","689.2037353515625","689.2037353515625","","","","","","","","","","","","","","",""
"14489","710.405029296875","710.405029296875","710.405029296875","","","","","","","","","","","","","","",""
"14519","672.824462890625","672.824462890625","672.824462890625","","","","","","","","","","","","","","",""
"14549","678.2108154296875","678.2108154296875","678.2108154296875","","","","","","","","","","","","","","",""
"14579","675.667236328125","675.667236328125","675.667236328125","","","","","","","","","","","","","","",""
"14609","686.5269775390625","686.5269775390625","686.5269775390625","","","","","","","","","","","","","","",""
"14639","676.6918334960938","676.6918334960938","676.6918334960938","","","","","","","","","","","","","","",""
"14669","691.5613403320312","691.5613403320312","691.5613403320312","","","","","","","","","","","","","","",""
"14699","661.2202758789062","661.2202758789062","661.2202758789062","","","","","","","","","","","","","","",""
"14729","680.082275390625","680.082275390625","680.082275390625","","","","","","","","","","","","","","",""
"14759","685.6217041015625","685.6217041015625","685.6217041015625","","","","","","","","","","","","","","",""
"14789","671.000732421875","671.000732421875","671.000732421875","","","","","","","","","","","","","","",""
"14819","684.6441650390625","684.6441650390625","684.6441650390625","","","","","","","","","","","","","","",""
"14849","668.10595703125","668.10595703125","668.10595703125","","","","","","","","","","","","","","",""
"14879","655.1866455078125","655.1866455078125","655.1866455078125","","","","","","","","","","","","","","",""
"14909","690.33740234375","690.33740234375","690.33740234375","","","","","","","","","","","","","","",""
"14939","663.611572265625","663.611572265625","663.611572265625","","","","","","","","","","","","","","",""
"14969","681.7076416015625","681.7076416015625","681.7076416015625","","","","","","","","","","","","","","",""
"14999","643.5419311523438","643.5419311523438","643.5419311523438","","","","","","","","","","","","","","",""
"15029","688.272216796875","688.272216796875","688.272216796875","","","","","","","","","","","","","","",""
"15059","660.934326171875","660.934326171875","660.934326171875","","","","","","","","","","","","","","",""
"15089","674.0252075195312","674.0252075195312","674.0252075195312","","","","","","","","","","","","","","",""
"15119","666.5655517578125","666.5655517578125","666.5655517578125","","","","","","","","","","","","","","",""
"15149","677.51953125","677.51953125","677.51953125","","","","","","","","","","","","","","",""
"15179","668.80224609375","668.80224609375","668.80224609375","","","","","","","","","","","","","","",""
"15209","679.3385009765625","679.3385009765625","679.3385009765625","","","","","","","","","","","","","","",""
"15239","648.1582641601562","648.1582641601562","648.1582641601562","","","","","","","","","","","","","","",""
"15269","678.2039184570312","678.2039184570312","678.2039184570312","","","","","","","","","","","","","","",""
"15299","659.045654296875","659.045654296875","659.045654296875","","","","","","","","","","","","","","",""
"15329","671.9365844726562","671.9365844726562","671.9365844726562","","","","","","","","","","","","","","",""
"15359","641.1978759765625","641.1978759765625","641.1978759765625","","","","","","","","","","","","","","",""
"15389","684.0035400390625","684.0035400390625","684.0035400390625","","","","","","","","","","","","","","",""
"15419","642.0150146484375","642.0150146484375","642.0150146484375","","","","","","","","","","","","","","",""
"15449","662.880859375","662.880859375","662.880859375","","","","","","","","","","","","","","",""
"15479","639.32275390625","639.32275390625","639.32275390625","","","","","","","","","","","","","","",""
"15509","647.6863403320312","647.6863403320312","647.6863403320312","","","","","","","","","","","","","","",""
"15539","647.6802978515625","647.6802978515625","647.6802978515625","","","","","","","","","","","","","","",""
"15569","651.839599609375","651.839599609375","651.839599609375","","","","","","","","","","","","","","",""
"15599","642.9352416992188","642.9352416992188","642.9352416992188","","","","","","","","","","","","","","",""
"15629","657.3074951171875","657.3074951171875","657.3074951171875","","","","","","","","","","","","","","",""
"15659","645.0808715820312","645.0808715820312","645.0808715820312","","","","","","","","","","","","","","",""
"15689","661.360595703125","661.360595703125","661.360595703125","","","","","","","","","","","","","","",""
"15719","658.310546875","658.310546875","658.310546875","","","","","","","","","","","","","","",""
"15749","655.6031494140625","655.6031494140625","655.6031494140625","","","","","","","","","","","","","","",""
"15779","637.4996337890625","637.4996337890625","637.4996337890625","","","","","","","","","","","","","","",""
"15809","645.2757568359375","645.2757568359375","645.2757568359375","","","","","","","","","","","","","","",""
"15839","639.01953125","639.01953125","639.01953125","","","","","","","","","","","","","","",""
"15869","668.079833984375","668.079833984375","668.079833984375","","","","","","","","","","","","","","",""
"15899","632.603271484375","632.603271484375","632.603271484375","","","","","","","","","","","","","","",""
"15929","638.7835083007812","638.7835083007812","638.7835083007812","","","","","","","","","","","","","","",""
"15959","631.199462890625","631.199462890625","631.199462890625","","","","","","","","","","","","","","",""
"15989","643.1841430664062","643.1841430664062","643.1841430664062","","","","","","","","","","","","","","",""
"16019","628.7415771484375","628.7415771484375","628.7415771484375","","","","","","","","","","","","","","",""
"16049","639.3619384765625","639.3619384765625","639.3619384765625","","","","","","","","","","","","","","",""
"16079","622.858642578125","622.858642578125","622.858642578125","","","","","","","","","","","","","","",""
"16109","632.7044067382812","632.7044067382812","632.7044067382812","","","","","","","","","","","","","","",""
"16139","613.2366943359375","613.2366943359375","613.2366943359375","","","","","","","","","","","","","","",""
"16169","629.12109375","629.12109375","629.12109375","","","","","","","","","","","","","","",""
"16199","623.2661743164062","623.2661743164062","623.2661743164062","","","","","","","","","","","","","","",""
