"Step","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX"
"6599","198.7294158935547","198.7294158935547","198.7294158935547","222.858154296875","222.858154296875","222.858154296875","104.59429168701172","104.59429168701172","104.59429168701172","198.57913208007812","198.57913208007812","198.57913208007812","221.1868438720703","221.1868438720703","221.1868438720703","113.43586730957031","113.43586730957031","113.43586730957031"
"7199","184.5329132080078","184.5329132080078","184.5329132080078","210.7287139892578","210.7287139892578","210.7287139892578","99.86754608154297","99.86754608154297","99.86754608154297","184.4028778076172","184.4028778076172","184.4028778076172","209.0771942138672","209.0771942138672","209.0771942138672","108.49958801269531","108.49958801269531","108.49958801269531"
"7799","173.29391479492188","173.29391479492188","173.29391479492188","200.60025024414062","200.60025024414062","200.60025024414062","96.25664520263672","96.25664520263672","96.25664520263672","173.17080688476562","173.17080688476562","173.17080688476562","199.0437469482422","199.0437469482422","199.0437469482422","104.880126953125","104.880126953125","104.880126953125"
"8399","164.56234741210938","164.56234741210938","164.56234741210938","191.87844848632812","191.87844848632812","191.87844848632812","92.40367126464844","92.40367126464844","92.40367126464844","164.45986938476562","164.45986938476562","164.45986938476562","190.42234802246094","190.42234802246094","190.42234802246094","101.01483154296875","101.01483154296875","101.01483154296875"
"8999","155.974853515625","155.974853515625","155.974853515625","184.2447052001953","184.2447052001953","184.2447052001953","89.56438446044922","89.56438446044922","89.56438446044922","155.9866943359375","155.9866943359375","155.9866943359375","182.88743591308594","182.88743591308594","182.88743591308594","97.70091247558594","97.70091247558594","97.70091247558594"
"9599","149.30712890625","149.30712890625","149.30712890625","176.25677490234375","176.25677490234375","176.25677490234375","85.90126037597656","85.90126037597656","85.90126037597656","149.26089477539062","149.26089477539062","149.26089477539062","174.96131896972656","174.96131896972656","174.96131896972656","93.83094787597656","93.83094787597656","93.83094787597656"
"10199","143.4136199951172","143.4136199951172","143.4136199951172","171.0524139404297","171.0524139404297","171.0524139404297","83.65145111083984","83.65145111083984","83.65145111083984","143.32017517089844","143.32017517089844","143.32017517089844","169.71487426757812","169.71487426757812","169.71487426757812","91.2928237915039","91.2928237915039","91.2928237915039"
"10799","139.0157928466797","139.0157928466797","139.0157928466797","164.22772216796875","164.22772216796875","164.22772216796875","81.1250228881836","81.1250228881836","81.1250228881836","139.04397583007812","139.04397583007812","139.04397583007812","163.185791015625","163.185791015625","163.185791015625","88.69124603271484","88.69124603271484","88.69124603271484"
"11399","133.9325408935547","133.9325408935547","133.9325408935547","159.31204223632812","159.31204223632812","159.31204223632812","78.9675064086914","78.9675064086914","78.9675064086914","133.8876495361328","133.8876495361328","133.8876495361328","158.1671142578125","158.1671142578125","158.1671142578125","86.32003021240234","86.32003021240234","86.32003021240234"
"11999","130.55833435058594","130.55833435058594","130.55833435058594","155.39447021484375","155.39447021484375","155.39447021484375","77.05643463134766","77.05643463134766","77.05643463134766","130.5408172607422","130.5408172607422","130.5408172607422","154.2201385498047","154.2201385498047","154.2201385498047","84.19139099121094","84.19139099121094","84.19139099121094"
"12599","126.01201629638672","126.01201629638672","126.01201629638672","150.135498046875","150.135498046875","150.135498046875","74.64261627197266","74.64261627197266","74.64261627197266","125.96691131591797","125.96691131591797","125.96691131591797","149.13572692871094","149.13572692871094","149.13572692871094","81.52839660644531","81.52839660644531","81.52839660644531"
"13199","123.19410705566406","123.19410705566406","123.19410705566406","146.1270751953125","146.1270751953125","146.1270751953125","72.68233489990234","72.68233489990234","72.68233489990234","123.1826400756836","123.1826400756836","123.1826400756836","145.1244659423828","145.1244659423828","145.1244659423828","79.69029998779297","79.69029998779297","79.69029998779297"
"13799","119.75542449951172","119.75542449951172","119.75542449951172","141.77598571777344","141.77598571777344","141.77598571777344","70.45758056640625","70.45758056640625","70.45758056640625","119.7225112915039","119.7225112915039","119.7225112915039","140.7716827392578","140.7716827392578","140.7716827392578","77.07530212402344","77.07530212402344","77.07530212402344"
"14399","116.9311294555664","116.9311294555664","116.9311294555664","138.65928649902344","138.65928649902344","138.65928649902344","68.7972640991211","68.7972640991211","68.7972640991211","116.93865203857422","116.93865203857422","116.93865203857422","137.7947235107422","137.7947235107422","137.7947235107422","75.45169067382812","75.45169067382812","75.45169067382812"
"14999","115.02738189697266","115.02738189697266","115.02738189697266","136.3313446044922","136.3313446044922","136.3313446044922","67.51505279541016","67.51505279541016","67.51505279541016","114.95198059082031","114.95198059082031","114.95198059082031","135.42901611328125","135.42901611328125","135.42901611328125","73.98077392578125","73.98077392578125","73.98077392578125"
"15599","112.82763671875","112.82763671875","112.82763671875","133.4051513671875","133.4051513671875","133.4051513671875","66.04290771484375","66.04290771484375","66.04290771484375","112.7916259765625","112.7916259765625","112.7916259765625","132.51051330566406","132.51051330566406","132.51051330566406","72.58180236816406","72.58180236816406","72.58180236816406"
"16199","109.3498764038086","109.3498764038086","109.3498764038086","130.8541259765625","130.8541259765625","130.8541259765625","64.61744689941406","64.61744689941406","64.61744689941406","109.287353515625","109.287353515625","109.287353515625","130.11203002929688","130.11203002929688","130.11203002929688","71.03892517089844","71.03892517089844","71.03892517089844"
"16799","107.2763671875","107.2763671875","107.2763671875","127.58440399169922","127.58440399169922","127.58440399169922","63.5905647277832","63.5905647277832","63.5905647277832","107.21688079833984","107.21688079833984","107.21688079833984","126.8883285522461","126.8883285522461","126.8883285522461","69.8756332397461","69.8756332397461","69.8756332397461"
"17399","105.4520034790039","105.4520034790039","105.4520034790039","124.63175201416016","124.63175201416016","124.63175201416016","61.88279342651367","61.88279342651367","61.88279342651367","105.37496185302734","105.37496185302734","105.37496185302734","123.99433898925781","123.99433898925781","123.99433898925781","68.04854583740234","68.04854583740234","68.04854583740234"
"17999","104.24005126953125","104.24005126953125","104.24005126953125","122.80657196044922","122.80657196044922","122.80657196044922","60.65438461303711","60.65438461303711","60.65438461303711","104.21546936035156","104.21546936035156","104.21546936035156","122.21160125732422","122.21160125732422","122.21160125732422","66.55867767333984","66.55867767333984","66.55867767333984"
"18599","101.5867919921875","101.5867919921875","101.5867919921875","120.95450592041016","120.95450592041016","120.95450592041016","59.8504753112793","59.8504753112793","59.8504753112793","101.61054992675781","101.61054992675781","101.61054992675781","120.2283706665039","120.2283706665039","120.2283706665039","65.81524658203125","65.81524658203125","65.81524658203125"
"19199","100.5595932006836","100.5595932006836","100.5595932006836","118.16741180419922","118.16741180419922","118.16741180419922","58.434364318847656","58.434364318847656","58.434364318847656","100.52324676513672","100.52324676513672","100.52324676513672","117.69274139404297","117.69274139404297","117.69274139404297","64.43817901611328","64.43817901611328","64.43817901611328"
"19799","98.61231994628906","98.61231994628906","98.61231994628906","116.06829833984375","116.06829833984375","116.06829833984375","57.73383712768555","57.73383712768555","57.73383712768555","98.6114273071289","98.6114273071289","98.6114273071289","115.57085418701172","115.57085418701172","115.57085418701172","63.63039779663086","63.63039779663086","63.63039779663086"
