"Step","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX"
"9599","12062.2373046875","12062.2373046875","12062.2373046875","11926.111328125","11926.111328125","11926.111328125","11971.1875","11971.1875","11971.1875","10905.6220703125","10905.6220703125","10905.6220703125","11539.8349609375","11539.8349609375","11539.8349609375","9649.1162109375","9649.1162109375","9649.1162109375"
"10199","12062.5537109375","12062.5537109375","12062.5537109375","11922.203125","11922.203125","11922.203125","11944.1396484375","11944.1396484375","11944.1396484375","10951.484375","10951.484375","10951.484375","11568.3740234375","11568.3740234375","11568.3740234375","9652.6591796875","9652.6591796875","9652.6591796875"
"10799","12073.150390625","12073.150390625","12073.150390625","11922.296875","11922.296875","11922.296875","11927.998046875","11927.998046875","11927.998046875","10983.5966796875","10983.5966796875","10983.5966796875","11581.2021484375","11581.2021484375","11581.2021484375","9653.5107421875","9653.5107421875","9653.5107421875"
"11399","12066.6953125","12066.6953125","12066.6953125","11901.3828125","11901.3828125","11901.3828125","11919.859375","11919.859375","11919.859375","10998.2412109375","10998.2412109375","10998.2412109375","11608.4296875","11608.4296875","11608.4296875","9649.3505859375","9649.3505859375","9649.3505859375"
"11999","12055.7646484375","12055.7646484375","12055.7646484375","11882.6748046875","11882.6748046875","11882.6748046875","11901.3505859375","11901.3505859375","11901.3505859375","11018.5986328125","11018.5986328125","11018.5986328125","11555.689453125","11555.689453125","11555.689453125","9638.9482421875","9638.9482421875","9638.9482421875"
"12599","12029.8701171875","12029.8701171875","12029.8701171875","11869.876953125","11869.876953125","11869.876953125","11885.72265625","11885.72265625","11885.72265625","11026.3232421875","11026.3232421875","11026.3232421875","11544.8544921875","11544.8544921875","11544.8544921875","9646.8193359375","9646.8193359375","9646.8193359375"
"13199","12058.9638671875","12058.9638671875","12058.9638671875","11899.8251953125","11899.8251953125","11899.8251953125","11856.3359375","11856.3359375","11856.3359375","11056.9365234375","11056.9365234375","11056.9365234375","11556.228515625","11556.228515625","11556.228515625","9639.974609375","9639.974609375","9639.974609375"
"13799","12061.3662109375","12061.3662109375","12061.3662109375","11878.6953125","11878.6953125","11878.6953125","11858.0302734375","11858.0302734375","11858.0302734375","11064.5615234375","11064.5615234375","11064.5615234375","11556.53125","11556.53125","11556.53125","9630.4990234375","9630.4990234375","9630.4990234375"
"14399","12058.41015625","12058.41015625","12058.41015625","11905.9208984375","11905.9208984375","11905.9208984375","11850.36328125","11850.36328125","11850.36328125","11070.5283203125","11070.5283203125","11070.5283203125","11585.3505859375","11585.3505859375","11585.3505859375","9630.869140625","9630.869140625","9630.869140625"
"14999","12039.2294921875","12039.2294921875","12039.2294921875","11907.814453125","11907.814453125","11907.814453125","11840.890625","11840.890625","11840.890625","11059.4208984375","11059.4208984375","11059.4208984375","11573.7734375","11573.7734375","11573.7734375","9623.9912109375","9623.9912109375","9623.9912109375"
"15599","12048.1669921875","12048.1669921875","12048.1669921875","11865.7177734375","11865.7177734375","11865.7177734375","11842.4208984375","11842.4208984375","11842.4208984375","11058.80859375","11058.80859375","11058.80859375","11544.091796875","11544.091796875","11544.091796875","9617.822265625","9617.822265625","9617.822265625"
"16199","12060.25","12060.25","12060.25","11924.1630859375","11924.1630859375","11924.1630859375","11816.9384765625","11816.9384765625","11816.9384765625","11073.419921875","11073.419921875","11073.419921875","11581.4580078125","11581.4580078125","11581.4580078125","9610.1142578125","9610.1142578125","9610.1142578125"
"16799","12061.0263671875","12061.0263671875","12061.0263671875","11909.80859375","11909.80859375","11909.80859375","11816.3271484375","11816.3271484375","11816.3271484375","11070.4716796875","11070.4716796875","11070.4716796875","11565.6826171875","11565.6826171875","11565.6826171875","9599.7607421875","9599.7607421875","9599.7607421875"
"17399","12061.2099609375","12061.2099609375","12061.2099609375","11908.09765625","11908.09765625","11908.09765625","11804.8173828125","11804.8173828125","11804.8173828125","11070.8974609375","11070.8974609375","11070.8974609375","11558.8671875","11558.8671875","11558.8671875","9590.8955078125","9590.8955078125","9590.8955078125"
"17999","12046.0361328125","12046.0361328125","12046.0361328125","11912.8369140625","11912.8369140625","11912.8369140625","11765.3583984375","11765.3583984375","11765.3583984375","11053.171875","11053.171875","11053.171875","11532.0986328125","11532.0986328125","11532.0986328125","9587.3359375","9587.3359375","9587.3359375"
"18599","12057.7802734375","12057.7802734375","12057.7802734375","11917.8974609375","11917.8974609375","11917.8974609375","11776.3603515625","11776.3603515625","11776.3603515625","11075.7021484375","11075.7021484375","11075.7021484375","11552.1826171875","11552.1826171875","11552.1826171875","9584.0546875","9584.0546875","9584.0546875"
"19199","12061.0029296875","12061.0029296875","12061.0029296875","11931.509765625","11931.509765625","11931.509765625","11755.9609375","11755.9609375","11755.9609375","11076.6240234375","11076.6240234375","11076.6240234375","11558.1240234375","11558.1240234375","11558.1240234375","9577.203125","9577.203125","9577.203125"
"19799","12069.6298828125","12069.6298828125","12069.6298828125","11923.7529296875","11923.7529296875","11923.7529296875","11770.015625","11770.015625","11770.015625","11067.8486328125","11067.8486328125","11067.8486328125","11576.6044921875","11576.6044921875","11576.6044921875","9565.5","9565.5","9565.5"
